ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
GOOG,2020-09-16,2020-09-18,274.0,954.0,1550.0,952.0,134.0,0.267180795,GOOG,2020-09-16,76.04,78.1,75.99,77.78,26244000.0,1520.9,1562.0,1519.82,1555.54
GOOG,2020-09-23,2020-09-25,153.0,593.0,1460.0,96.0,14.0,0.159669299,GOOG,2020-09-23,70.76,73.05,70.39,72.94,33145998.0,1415.21,1460.96,1407.7,1458.78
GOOG,2020-09-30,2020-10-02,200.0,89.0,1485.0,63.0,30.0,0.357638838,GOOG,2020-09-30,73.48,74.49,72.99,73.34,34032000.0,1469.6,1489.75,1459.88,1466.8
GOOG,2020-10-07,2020-10-09,166.0,84.0,1467.5,63.0,3.0,0.404769272,GOOG,2020-10-07,73.01,73.45,71.8,73.22,34922000.0,1460.29,1468.96,1436.0,1464.29
GOOG,2020-10-14,2020-10-16,163.0,84.0,1585.0,59.0,63.0,0.386600248,GOOG,2020-10-14,78.4,79.38,77.53,78.93,38618000.0,1568.08,1587.68,1550.53,1578.59
GOOG,2020-10-21,2020-10-23,403.0,53.0,1615.0,8.0,39.0,0.357962302,GOOG,2020-10-21,79.67,80.94,78.58,78.67,51366000.0,1593.31,1618.73,1571.63,1573.33
GOOG,2020-10-28,2020-10-30,75.0,53.0,1540.0,97.0,80.0,0.450364787,GOOG,2020-10-28,75.83,78.07,75.73,77.99,36678000.0,1516.62,1561.35,1514.62,1559.74
GOOG,2020-11-04,2020-11-06,966.0,419.0,1750.0,9.0,353.0,0.446963667,GOOG,2020-11-04,87.46,88.57,85.3,85.51,71418000.0,1749.13,1771.36,1706.03,1710.28
GOOG,2020-11-11,2020-11-13,154.0,255.0,1760.0,97.0,86.0,0.47089619,GOOG,2020-11-11,87.64,88.21,87.37,87.5,25278000.0,1752.71,1764.22,1747.36,1750.0
GOOG,2020-11-18,2020-11-20,213.0,535.0,1770.0,148.0,58.0,0.28648242,GOOG,2020-11-18,87.34,88.67,87.31,88.26,23468000.0,1746.78,1773.47,1746.14,1765.23
GOOG,2020-11-25,2020-11-27,489.0,416.0,1770.0,61.0,86.0,0.575886147,GOOG,2020-11-25,88.57,88.93,87.83,88.64,20922000.0,1771.43,1778.54,1756.54,1772.89
GOOG,2020-12-02,2020-12-04,294.0,79.0,1835.0,12.0,59.0,0.408453031,GOOG,2020-12-02,91.4,91.78,89.47,89.9,24440000.0,1827.95,1835.65,1789.47,1798.1
GOOG,2020-12-09,2020-12-11,290.0,90.0,1815.0,99.0,49.0,0.160031443,GOOG,2020-12-09,89.21,91.71,88.39,90.6,30150000.0,1784.13,1834.27,1767.81,1812.01
GOOG,2020-12-16,2020-12-18,141.0,72.0,1765.0,84.0,102.0,0.496002879,GOOG,2020-12-16,88.15,88.65,87.8,88.64,30270000.0,1763.0,1773.0,1756.08,1772.88
GOOG,2020-12-23,2020-12-24,136.0,67.0,1747.5,45.0,3.0,0.345368369,GOOG,2020-12-23,86.62,87.4,86.25,86.41,20678000.0,1732.38,1747.99,1725.04,1728.11
GOOG,2020-12-30,2020-12-31,171.0,59.0,1755.0,93.0,30.0,0.157773634,GOOG,2020-12-30,86.98,88.26,86.28,88.1,26122000.0,1739.52,1765.1,1725.6,1762.01
GOOG,2021-01-06,2021-01-08,99.0,96.0,1735.0,88.0,55.0,0.482134804,GOOG,2021-01-06,86.76,87.4,84.95,85.13,52042000.0,1735.29,1748.0,1699.0,1702.63
GOOG,2021-01-13,2021-01-15,1037.0,680.0,1760.0,704.0,113.0,0.4867183,GOOG,2021-01-13,87.72,88.25,86.9,86.93,21882000.0,1754.4,1765.04,1738.01,1738.58
GOOG,2021-01-20,2021-01-22,1230.0,382.0,1900.0,2.0,140.0,0.455394255,GOOG,2021-01-20,94.34,95.19,91.28,91.57,49804000.0,1886.9,1903.71,1825.53,1831.46
GOOG,2021-01-27,2021-01-29,545.0,740.0,1890.0,127.0,67.0,0.202507851,GOOG,2021-01-27,91.54,94.5,90.45,94.44,54964000.0,1830.79,1890.0,1809.0,1888.87
GOOG,2021-02-03,2021-02-05,899.0,154.0,2110.0,7.0,90.0,0.336381831,GOOG,2021-02-03,103.5,105.82,100.92,103.65,82362000.0,2070.07,2116.5,2018.38,2073.0
GOOG,2021-02-10,2021-02-12,39.0,27.0,2107.5,7.0,23.0,0.327877169,GOOG,2021-02-10,104.77,105.42,103.15,104.71,22708000.0,2095.38,2108.37,2063.09,2094.21
GOOG,2021-02-17,2021-02-19,151.0,161.0,2130.0,77.0,51.0,0.491116295,GOOG,2021-02-17,106.42,106.68,104.95,105.14,21418000.0,2128.31,2133.66,2098.92,2102.79
GOOG,2021-02-24,2021-02-26,470.0,352.0,2100.0,360.0,32.0,0.437317432,GOOG,2021-02-24,104.76,105.04,101.91,102.09,24966000.0,2095.17,2100.78,2038.13,2041.83
GOOG,2021-03-03,2021-03-05,5.0,7.0,2077.5,9.0,7.0,0.22073079,GOOG,2021-03-03,101.34,104.43,100.5,103.36,29682002.0,2026.71,2088.52,2010.0,2067.21
GOOG,2021-03-10,2021-03-12,75.0,44.0,2075.0,435.0,61.0,0.389616962,GOOG,2021-03-10,102.75,103.75,101.67,103.59,25370000.0,2055.03,2075.0,2033.37,2071.76
GOOG,2021-03-17,2021-03-19,79.0,83.0,2105.0,194.0,31.0,0.37981484,GOOG,2021-03-17,104.55,105.49,102.7,103.8,25980000.0,2091.08,2109.78,2054.0,2076.03
GOOG,2021-03-24,2021-03-26,26.0,61.0,2055.0,57.0,27.0,0.481819142,GOOG,2021-03-24,102.25,103.91,102.08,103.27,23080000.0,2045.06,2078.21,2041.56,2065.37
GOOG,2021-03-31,2021-04-01,63.0,34.0,2092.5,2.0,15.0,0.20937776,GOOG,2021-03-31,103.43,104.67,102.84,102.96,29197998.0,2068.63,2093.33,2056.74,2059.12
GOOG,2021-04-07,2021-04-09,854.0,344.0,2250.0,32.0,189.0,0.533166089,GOOG,2021-04-07,112.48,112.75,111.27,111.31,25796000.0,2249.68,2255.0,2225.33,2226.13
GOOG,2021-04-14,2021-04-16,193.0,289.0,2270.0,67.0,30.0,0.384464919,GOOG,2021-04-14,112.74,113.9,112.46,113.76,20218000.0,2254.84,2277.99,2249.19,2275.16
GOOG,2021-04-21,2021-04-23,83.0,381.0,2295.0,83.0,12.0,0.445767859,GOOG,2021-04-21,114.66,114.77,112.93,114.26,23934000.0,2293.29,2295.32,2258.57,2285.25
GOOG,2021-04-28,2021-04-30,2178.0,460.0,2450.0,11.0,44.0,0.094237543,GOOG,2021-04-28,119.0,122.62,118.74,120.36,59728004.0,2379.91,2452.38,2374.85,2407.15
