index,ticker,tradeDate,expiration_date,call_volume,call_open_interest,strike_price,put_open_interest,put_volume,delta,Ticker,Trade_date,W_Close,W_High,W_Low,W_Open,W_Vol,W_Unadj_Cls,W_Unadj_Hig,W_Unadj_Low,W_Unadj_Open
11.0,AMD,2019-10-02,2019-10-04,16351.0,3813.0,28.5,5069.0,2853.0,0.446496541,AMD,2019-10-02,28.31,28.85,28.03,28.5,44048700.0,28.31,28.85,28.03,28.5
13.0,AMD,2019-10-09,2019-10-11,4000.0,5264.0,28.5,9972.0,4501.0,0.547182232,AMD,2019-10-09,28.48,28.95,28.35,28.8,36321600.0,28.48,28.95,28.35,28.8
27.0,AMD,2019-10-16,2019-10-18,16770.0,23606.0,31.0,7775.0,13494.0,0.448681119,AMD,2019-10-16,30.81,31.41,30.53,30.6,43064200.0,30.81,31.41,30.53,30.6
18.0,AMD,2019-10-23,2019-10-25,5325.0,9354.0,31.0,6470.0,5424.0,0.649091488,AMD,2019-10-23,31.36,31.65,30.83,31.09,26858100.0,31.36,31.65,30.83,31.09
23.0,AMD,2019-10-30,2019-11-01,23986.0,12214.0,33.0,6484.0,9755.0,0.532825912,AMD,2019-10-30,33.13,33.34,32.03,32.93,78228704.0,33.13,33.34,32.03,32.93
29.0,AMD,2019-11-06,2019-11-08,19043.0,10884.0,36.0,6558.0,10251.0,0.476427756,AMD,2019-11-06,35.93,36.48,35.52,36.06,51675100.0,35.93,36.48,35.52,36.06
36.0,AMD,2019-11-13,2019-11-15,14454.0,7763.0,37.5,594.0,9174.0,0.517176768,AMD,2019-11-13,37.52,37.96,36.58,36.65,69152400.0,37.52,37.96,36.58,36.65
41.0,AMD,2019-11-20,2019-11-22,16901.0,6724.0,41.5,1811.0,3935.0,0.371923796,AMD,2019-11-20,40.98,41.75,40.07,40.96,79968304.0,40.98,41.75,40.07,40.96
36.0,AMD,2019-11-27,2019-11-29,8344.0,10459.0,39.5,3885.0,4413.0,0.460802388,AMD,2019-11-27,39.41,39.76,39.07,39.46,33733700.0,39.41,39.76,39.07,39.46
30.0,AMD,2019-12-04,2019-12-06,12182.0,7005.0,39.5,2042.0,6490.0,0.549929158,AMD,2019-12-04,39.69,39.82,39.13,39.38,44372100.0,39.69,39.82,39.13,39.38
29.0,AMD,2019-12-11,2019-12-13,6022.0,13827.0,39.5,7883.0,2232.0,0.476622748,AMD,2019-12-11,39.47,39.61,39.04,39.44,31794600.0,39.47,39.61,39.04,39.44
39.0,AMD,2019-12-18,2019-12-20,17284.0,31083.0,43.0,3074.0,2121.0,0.345249752,AMD,2019-12-18,42.3,43.06,42.24,42.79,39182900.0,42.3,43.06,42.24,42.79
34.0,AMD,2020-01-08,2020-01-10,17440.0,10949.0,48.0,6894.0,3626.0,0.541245907,AMD,2020-01-08,47.83,48.3,47.14,47.85,53868900.0,47.83,48.3,47.14,47.85
54.0,AMD,2020-01-15,2020-01-17,23640.0,33779.0,49.0,4077.0,3239.0,0.359955605,AMD,2020-01-15,48.54,49.08,48.12,48.23,40199900.0,48.54,49.08,48.12,48.23
39.0,AMD,2020-01-22,2020-01-24,10044.0,6651.0,51.5,3298.0,3516.0,0.492931094,AMD,2020-01-22,51.43,51.88,51.2,51.63,40772200.0,51.43,51.88,51.2,51.63
32.0,AMD,2020-01-29,2020-01-31,36253.0,20600.0,48.0,9840.0,5982.0,0.43374817,AMD,2020-01-29,47.51,48.07,46.1,47.84,112559200.0,47.51,48.07,46.1,47.84
23.0,AMD,2020-02-05,2020-02-07,15948.0,14895.0,50.0,3088.0,4139.0,0.454188629,AMD,2020-02-05,49.84,50.42,49.31,50.29,42737100.0,49.84,50.42,49.31,50.29
33.0,AMD,2020-02-12,2020-02-14,11128.0,5896.0,54.5,979.0,1547.0,0.382628892,AMD,2020-02-12,53.89,54.85,53.53,54.53,45994900.0,53.89,54.85,53.53,54.53
56.0,AMD,2020-02-19,2020-02-21,20408.0,6441.0,58.0,789.0,8656.0,0.676546175,AMD,2020-02-19,58.9,59.27,57.51,57.99,58597200.0,58.9,59.27,57.51,57.99
19.0,AMD,2020-02-26,2020-02-28,20483.0,6459.0,49.0,5851.0,2543.0,0.293124124,AMD,2020-02-26,47.49,49.29,47.07,47.7,86897600.0,47.49,49.29,47.07,47.7
34.0,AMD,2020-03-04,2020-03-06,13248.0,10060.0,50.0,3336.0,942.0,0.490973626,AMD,2020-03-04,50.11,50.14,47.21,48.25,93311696.0,50.11,50.14,47.21,48.25
25.0,AMD,2020-03-11,2020-03-13,4507.0,1111.0,45.5,754.0,1160.0,0.534753905,AMD,2020-03-11,45.7,45.97,43.8,44.19,102319000.0,45.7,45.97,43.8,44.19
19.0,AMD,2020-03-18,2020-03-20,2473.0,1957.0,40.5,966.0,3594.0,0.341098131,AMD,2020-03-18,39.12,41.95,36.75,39.54,106949200.0,39.12,41.95,36.75,39.54
16.0,AMD,2020-03-25,2020-03-27,2179.0,9006.0,45.0,4442.0,7738.0,0.562773421,AMD,2020-03-25,44.63,47.88,44.42,46.79,93760304.0,44.63,47.88,44.42,46.79
17.0,AMD,2020-04-01,2020-04-03,19229.0,4700.0,46.0,3194.0,16276.0,0.217740813,AMD,2020-04-01,43.66,46.85,43.16,44.18,92083000.0,43.66,46.85,43.16,44.18
20.0,AMD,2020-04-08,2020-04-09,16412.0,8654.0,49.0,1691.0,5433.0,0.478033998,AMD,2020-04-08,48.79,49.0,47.61,48.07,64930700.0,48.79,49.0,47.61,48.07
40.0,AMD,2020-04-15,2020-04-17,34186.0,22085.0,55.0,8536.0,14868.0,0.541647492,AMD,2020-04-15,54.99,55.57,53.41,53.73,83814000.0,54.99,55.57,53.41,53.73
27.0,AMD,2020-04-22,2020-04-24,19725.0,5320.0,56.0,6469.0,6030.0,0.511356396,AMD,2020-04-22,55.92,56.15,54.34,54.91,63164000.0,55.92,56.15,54.34,54.91
25.0,AMD,2020-04-29,2020-05-01,16881.0,1945.0,54.0,4037.0,8527.0,0.461453767,AMD,2020-04-29,53.66,54.86,52.74,54.53,110800800.0,53.66,54.86,52.74,54.53
18.0,AMD,2020-05-06,2020-05-08,24364.0,9399.0,53.0,3543.0,12963.0,0.359936921,AMD,2020-05-06,52.16,53.31,51.88,52.42,48138100.0,52.16,53.31,51.88,52.42
38.0,AMD,2020-05-13,2020-05-15,52541.0,70037.0,55.0,53352.0,39860.0,0.146091009,AMD,2020-05-13,52.18,55.22,51.3,54.04,76824704.0,52.18,55.22,51.3,54.04
21.0,AMD,2020-05-20,2020-05-22,13256.0,13577.0,56.0,5550.0,12374.0,0.562524017,AMD,2020-05-20,56.39,56.98,55.62,56.55,50888100.0,56.39,56.98,55.62,56.55
15.0,AMD,2020-05-27,2020-05-29,27108.0,15576.0,53.0,7333.0,2559.0,0.421939928,AMD,2020-05-27,52.74,53.28,49.09,53.27,102414400.0,52.74,53.28,49.09,53.27
11.0,AMD,2020-06-03,2020-06-05,18921.0,12589.0,53.0,9732.0,5015.0,0.470062626,AMD,2020-06-03,52.73,53.65,52.33,53.6,46765300.0,52.73,53.65,52.33,53.6
19.0,AMD,2020-06-10,2020-06-12,36103.0,9147.0,58.0,765.0,9639.0,0.45541002,AMD,2020-06-10,57.44,59.0,57.03,57.2,78719400.0,57.44,59.0,57.03,57.2
41.0,AMD,2020-06-17,2020-06-19,24616.0,35932.0,55.0,10757.0,10430.0,0.446762292,AMD,2020-06-17,54.55,55.82,54.3,54.79,45146500.0,54.55,55.82,54.3,54.79
13.0,AMD,2020-06-24,2020-06-26,14607.0,7247.0,53.0,8523.0,7491.0,0.46482599,AMD,2020-06-24,52.39,54.74,51.92,53.94,53535500.0,52.39,54.74,51.92,53.94
18.0,AMD,2020-07-01,2020-07-02,11365.0,9696.0,52.0,6677.0,18031.0,0.715427452,AMD,2020-07-01,52.58,52.87,51.6,52.63,32370900.0,52.58,52.87,51.6,52.63
16.0,AMD,2020-07-08,2020-07-10,18657.0,13221.0,53.0,4480.0,3501.0,0.536144555,AMD,2020-07-08,53.43,53.47,52.07,53.01,35608300.0,53.43,53.47,52.07,53.01
35.0,AMD,2020-07-15,2020-07-17,7698.0,6483.0,54.0,5830.0,7960.0,0.69166396,AMD,2020-07-15,55.34,55.37,53.59,54.96,42360200.0,55.34,55.37,53.59,54.96
27.0,AMD,2020-07-22,2020-07-24,78497.0,4296.0,62.0,69.0,7848.0,0.492750439,AMD,2020-07-22,61.79,62.0,56.97,57.07,135159392.0,61.79,62.0,56.97,57.07
42.0,AMD,2020-07-29,2020-07-31,46586.0,8242.0,77.0,43.0,4137.0,0.407161232,AMD,2020-07-29,76.09,77.19,73.9,75.5,132969600.0,76.09,77.19,73.9,75.5
50.0,AMD,2020-08-05,2020-08-07,28094.0,5664.0,86.0,221.0,3323.0,0.405483121,AMD,2020-08-05,85.31,86.32,83.32,84.96,65737300.0,85.31,86.32,83.32,84.96
38.0,AMD,2020-08-12,2020-08-14,27679.0,8959.0,80.0,9408.0,11636.0,0.74854658,AMD,2020-08-12,82.61,82.88,77.55,78.43,88607800.0,82.61,82.88,77.55,78.43
44.0,AMD,2020-08-19,2020-08-21,9549.0,2281.0,81.0,3271.0,7767.0,0.531098291,AMD,2020-08-19,81.09,81.85,80.45,81.78,37507300.0,81.09,81.85,80.45,81.78
46.0,AMD,2020-08-26,2020-08-28,16982.0,6546.0,87.0,403.0,924.0,0.394809774,AMD,2020-08-26,86.02,87.72,85.2,86.97,47157200.0,86.02,87.72,85.2,86.97
47.0,AMD,2020-09-02,2020-09-04,9692.0,9754.0,93.0,388.0,554.0,0.267295414,AMD,2020-09-02,90.22,94.28,88.74,94.01,50366900.0,90.22,94.28,88.74,94.01
29.0,AMD,2020-09-09,2020-09-11,10850.0,5807.0,80.0,3050.0,5808.0,0.694609949,AMD,2020-09-09,81.91,82.44,79.28,81.4,54163800.0,81.91,82.44,79.28,81.4
37.0,AMD,2020-09-16,2020-09-18,10185.0,4112.0,79.0,1401.0,1619.0,0.291030946,AMD,2020-09-16,76.66,79.72,76.54,79.35,38445600.0,76.66,79.72,76.54,79.35
26.0,AMD,2020-09-23,2020-09-25,12144.0,4760.0,77.0,2039.0,2990.0,0.291453153,AMD,2020-09-23,74.73,77.91,74.34,77.39,42327500.0,74.73,77.91,74.34,77.39
40.0,AMD,2020-09-30,2020-10-02,20637.0,6017.0,82.0,4302.0,11321.0,0.512288771,AMD,2020-09-30,81.99,82.94,80.66,81.75,51497044.0,81.99,82.94,80.66,81.75
